,Date,target,CL=F,EURUSD=X,GC=F,HG=F,JPY=X,SI=F,XWD.TO,^DJI,^GSPC,^IXIC,^RUT,^TNX,^TYX,^VIX,VTI,IVV,SPY,XLK,XLV,JNK,VNQ,AAPL,AMZN,XOM,SHEL,CVX
0,2010-01-01,0,,1.4389938116073608,,,92.91999816894533,,,,,,,,,,,,,,,,,,,,,
1,2010-01-04,1,81.51000213623047,1.4423978328704834,1117.699951171875,3.388000011444092,92.49500274658205,17.440000534057617,22.935871124267575,10583.9599609375,1132.989990234375,2308.419921875,640.0999755859375,3.8410000801086426,4.659999847412109,20.040000915527344,44.17997360229492,87.10415649414062,86.86006927490234,18.996112823486328,24.806659698486328,47.24072265625,25.50316619873047,6.461977005004883,6.695000171661377,39.91357421875,29.257694244384766,44.538490295410156
2,2010-01-05,1,81.7699966430664,1.4365959167480469,1118.0999755859375,3.3959999084472656,91.58499908447266,17.7810001373291,22.94589233398437,10572.01953125,1136.52001953125,2308.7099609375,638.489990234375,3.755000114440918,4.5929999351501465,19.350000381469727,44.349571228027344,87.35709381103516,87.08997344970703,18.971620559692383,24.563373565673828,47.68524932861328,25.474552154541016,6.473147869110107,6.734499931335449,40.06942367553711,29.290546417236328,44.853973388671875
3,2010-01-06,1,83.18000030517578,1.4404033422470093,1135.9000244140625,3.477499961853028,92.3560028076172,18.163000106811523,22.845691680908203,10573.6796875,1137.1400146484375,2301.090087890625,637.9500122070312,3.808000087738037,4.671000003814697,19.15999984741211,44.41124725341797,87.42607879638672,87.15131378173828,18.759370803833008,24.814498901367188,47.84141540527344,25.428747177124023,6.370184898376465,6.612500190734863,40.415748596191406,29.051225662231445,44.859596252441406
4,2010-01-07,1,82.66000366210938,1.4318032264709473,1133.0999755859375,3.4114999771118164,93.38999938964844,18.33300018310547,22.905811309814453,10606.8603515625,1141.68994140625,2300.050048828125,641.969970703125,3.822000026702881,4.689000129699707,19.059999465942383,44.59625244140625,87.80928802490234,87.51922607421875,18.6859130859375,24.900821685791016,47.997623443603516,25.703529357910156,6.358407974243164,6.5,40.288780212402344,28.91045379638672,44.690608978271484
5,2010-01-08,1,82.75,1.44110906124115,1138.199951171875,3.388000011444092,92.66000366210938,18.45800018310547,22.94589233398437,10618.1904296875,1144.97998046875,2317.169921875,644.5599975585938,3.808000087738037,4.695000171661377,18.1299991607666,44.74272918701172,88.10818481445312,87.81045532226562,18.8083553314209,24.940065383911133,48.17784118652344,25.51462173461914,6.400681018829346,6.676000118255615,40.12714767456055,28.86821937561035,44.76947021484375
6,2010-01-11,0,82.5199966430664,1.4511260986328125,1150.699951171875,3.428499937057495,92.09200286865234,18.683000564575195,23.08617210388184,10663.990234375,1146.97998046875,2312.409912109375,643.989990234375,3.818000078201294,4.729000091552734,17.549999237060547,44.80439376831055,88.23080444335938,87.93306732177734,18.73488998413086,25.081315994262695,48.12979507446289,25.66345977783203,6.3442182540893555,6.515500068664551,40.577388763427734,29.318693161010742,45.56379318237305
7,2010-01-12,1,80.79000091552734,1.447659969329834,1128.9000244140625,3.337500095367432,91.08000183105467,18.243000030517575,22.95591163635254,10627.259765625,1136.219970703125,2282.31005859375,635.5,3.7190001010894775,4.623000144958496,18.25,44.341854095458984,87.41839599609375,87.11299133300781,18.530807495117188,24.900821685791016,48.0096435546875,25.234115600585938,6.272051811218262,6.367499828338623,40.37535858154297,28.657058715820312,45.299015045166016
8,2010-01-13,1,79.6500015258789,1.4523905515670776,1136.4000244140625,3.387500047683716,91.43299865722656,18.538000106811523,22.985971450805664,10680.76953125,1145.6800537109375,2307.89990234375,643.5599975585938,3.7829999923706055,4.706999778747559,17.850000381469727,44.75814437866211,88.10818481445312,87.84877014160156,18.710397720336914,25.230424880981445,47.877464294433594,25.743602752685547,6.360520362854004,6.45550012588501,40.2137336730957,28.675827026367188,44.95537185668945
9,2010-01-14,0,79.38999938964844,1.4499897956848145,1142.5999755859375,3.375999927520752,91.26699829101562,18.64299964904785,22.935871124267575,10710.5498046875,1148.4599609375,2316.739990234375,646.4299926757812,3.733999967575073,4.624000072479248,17.6299991607666,44.83525085449219,88.3687744140625,88.08635711669922,18.759370803833008,25.4580135345459,47.98560333251953,25.720706939697266,6.323685646057129,6.367499828338623,40.21950149536133,28.60544204711914,44.814537048339844
